ID,Date,tsID,ACTUAL,Temp,Saturday,Sunday
1,01.01.2010,04,35489.95,-0.9,0,1
2,02.01.2010,04,35413.59,-0.1,1,0
3,03.01.2010,04,34802.67,-3.9,0,1
4,04.01.2010,04,36003.84,-13.7,0,1
5,05.01.2010,04,37622.96,-16.9,0,1
6,06.01.2010,04,38248.29,-16.3,0,1
7,07.01.2010,04,38368.36,-17.5,0,1
8,08.01.2010,04,39097.83,-13.2,0,1
9,09.01.2010,04,37758.88,-6,1,0
10,10.01.2010,04,38223.03,-7.8,0,1
11,11.01.2010,04,41143.29,-14.5,0,0
12,12.01.2010,04,41738.98,-12.2,0,0
13,13.01.2010,04,41218.34,-9.6,0,0
14,14.01.2010,04,40814.02,-10.9,0,0
15,15.01.2010,04,40094.43,-17,0,0
16,16.01.2010,04,38714.12,-19.6,1,0
17,17.01.2010,04,39012.47,-20.6,0,1
18,18.01.2010,04,42506.39,-20.3,0,0
19,19.01.2010,04,42349.31,-22,0,0
20,20.01.2010,04,43367.96,-21,0,0
21,21.01.2010,04,43867.95,-22,0,0
22,22.01.2010,04,44195.95,-22.6,0,0
23,23.01.2010,04,42242.46,-26.1,1,0
24,24.01.2010,04,41140.29,-22.9,0,1
25,25.01.2010,04,43428.56,-17,0,0
26,26.01.2010,04,42753.15,-11.5,0,0
27,27.01.2010,04,43353.30,-14.3,0,0
28,28.01.2010,04,43103.57,-18.6,0,0
29,29.01.2010,04,42685.94,-20.6,0,0
30,30.01.2010,04,40006.32,-13.6,1,0
31,31.01.2010,04,38585.67,-7.4,0,1
32,01.02.2010,04,41169.58,-6.6,0,0
33,02.02.2010,04,41009.01,-9.1,0,0
34,03.02.2010,04,40390.35,-10,0,0
35,04.02.2010,04,41968.01,-15.4,0,0
36,05.02.2010,04,42454.77,-16,0,0
37,06.02.2010,04,39554.45,-15.3,1,0
38,07.02.2010,04,38561.33,-17.2,0,1
39,08.02.2010,04,41286.96,-17.9,0,0
40,09.02.2010,04,41633.54,-15.8,0,0
41,10.02.2010,04,42073.77,-19.1,0,0
42,11.02.2010,04,42598.45,-21,0,0
43,12.02.2010,04,42703.05,-20,0,0
44,13.02.2010,04,40794.95,-18.5,1,0
45,14.02.2010,04,40215.05,-13.8,0,1
46,15.02.2010,04,41423.95,-7.6,0,0
47,16.02.2010,04,41326.28,-6.1,0,0
48,17.02.2010,04,41058.29,-7.8,0,0
49,18.02.2010,04,41297.23,-14.6,0,0
50,19.02.2010,04,40028.78,-11.4,0,0
51,20.02.2010,04,37130.11,-6.5,1,0
52,21.02.2010,04,36935.41,-0.9,0,1
53,22.02.2010,04,37072.48,-1.3,0,1
54,23.02.2010,04,36704.03,-4.5,0,1
55,24.02.2010,04,39183.24,-7.7,0,0
56,25.02.2010,04,38803.08,-7.3,0,0
57,26.02.2010,04,38716.06,-3.8,0,0
58,27.02.2010,04,37589.82,-8.9,0,0
59,28.02.2010,04,33305.84,-12.2,0,1
60,01.03.2010,04,35340.93,-12.4,0,0
61,02.03.2010,04,35650.69,-8.9,0,0
62,03.03.2010,04,36777.97,-3.4,0,0
63,04.03.2010,04,37178.89,-3.9,0,0
64,05.03.2010,04,36549.36,-6.3,0,0
65,06.03.2010,04,34523.70,-9.3,1,0
66,07.03.2010,04,34458.44,-6.6,0,1
67,08.03.2010,04,34097.26,-7,0,1
68,09.03.2010,04,36925.93,-11.9,0,0
69,10.03.2010,04,36825.36,-11.7,0,0
70,11.03.2010,04,36792.75,-8.2,0,0
71,12.03.2010,04,36332.61,-7.5,0,0
72,13.03.2010,04,34687.64,-1.8,1,0
73,14.03.2010,04,34201.95,-1.9,0,1
74,15.03.2010,04,36183.44,-3.7,0,0
