QueryId,Query
1,what similarity laws must be obeyed when constructing aeroelastic models of heated high speed aircraft . 
2,what are the structural and aeroelastic problems associated with flight of high speed aircraft . 
4,what problems of heat conduction in composite slabs have been solved so far . 
8,can a criterion be developed to show empirically the validity of flow solutions for chemically reacting gas mixtures based on the simplifying assumption of instantaneous local chemical equilibrium . 
9,what chemical kinetic system is applicable to hypersonic aerodynamic problems . 
10,what theoretical and experimental guides do we have as to turbulent couette flow behaviour . 
12,is it possible to relate the available pressure distributions for an ogive forebody at zero angle of attack to the lower surface pressures of an equivalent ogive forebody at angle of attack . 
13,what methods -dash exact or approximate -dash are presently available for predicting body pressures at angle of attack. 
15,papers on internal /slip flow/ heat transfer studies . 
18,are real-gas transport properties for air available over a wide range of enthalpies and densities . 
22,"is it possible to find an analytical,  similar solution of the strong blast wave problem in the newtonian approximation . "
23,how can the aerodynamic performance of channel flow ground effect machines be calculated . 
26,what is the basic mechanism of the transonic aileron buzz . 
27,papers on shock-sound wave interaction . 
29,material properties of photoelastic materials . 
31,can the transverse potential flow about a body of revolution be calculated efficiently by an electronic computer . 
32,can the three-dimensional problem of a transverse potential flow about a body of revolution be reduced to a two-dimensional problem . 
33,are experimental pressure distributions on bodies of revolution at angle of attack available . 
34,does there exist a good basic treatment of the dynamics of re-entry combining consideration of realistic effects with relative simplicity of results . 
35,"has anyone formally determined the influence of joule heating,  produced by the induced current,  in magnetohydrodynamic free convection flows under general conditions . "
39,why does the compressibility transformation fail to correlate the high speed data for helium and air . 
40,did anyone else discover that the turbulent skin friction is not over sensitive to the nature of the variation of the viscosity with temperature . 
41,what progress has been made in research on unsteady aerodynamics . 
49,what are the factors which influence the time required to invert large structural matrices . 
50,does a practical flow follow the theoretical concepts for the interaction between adjacent blade rows of a supersonic cascade . 
51,what is a single approximate formula for the displacement thickness of a laminar boundary layer in compressible flow on a flat plate . 
52,how is the design of ring or part ring wings by linear theory affected by thickness . 
53,what application has the linear theory design of curved wings . 
54,what is the effect of cross sectional shape on the flow over simple delta wings with sharp leading edges . 
55,papers on flow visualization on slender conical wings . 
56,what size of end plate can be safely used to simulate two-dimensional flow conditions over a bluff cylindrical body of finite aspect ratio . 
57,to find an approximate correction for thickness in slender thin-wing theory . 
58,how do interference-free longitudinal stability measurements (made using free-flight models) compare with similar measurements made in a low-blockage wind tunnel . 
59,have wind tunnel interference effects been investigated on a systematic basis . 
61,are there any papers dealing with acoustic wave propagation in reacting gases . 
62,has anyone investigated relaxation effects on gaseous heat transfer to a suddenly heated wall . 
66,are there any theoretical methods for predicting base pressure . 
67,does transition in the hypersonic wake depend on body geometry and size 
68,how can one detect transition phenomena in boundary layers . 
69,how can one detect transition phenomena in hypersonic wakes . 
71,has anyone investigated and developed a simple model for the vortex wake behind a cruciform wing . 
72,what is a criterion that the transonic flow around an airfoil with a round leading edge be validly analyzed by the linearized transonic flow theory . 
