QueryId,DocumentId
225,433
225,1381
225,225
225,1075
225,1213
225,1380
225,924
182,685
225,1074
225,1188
225,1280
164,798
225,923
225,1309
225,40
225,1062
225,421
182,686
224,1313
225,293
165,72
225,1304
140,1039
147,1047
225,1378
182,634
223,1392
225,1124
147,889
171,252
167,82
130,766
164,1364
204,572
155,1104
171,431
224,1319
209,1351
224,1274
165,504
225,1377
177,588
141,1039
223,1387
167,274
225,448
217,1300
161,996
130,859
132,1019
225,1305
164,416
140,1043
161,1386
133,1019
209,1356
217,1213
217,1107
147,1051
130,858
147,822
215,37
217,1204
204,1355
196,185
225,449
225,161
224,1157
147,843
216,156
217,667
130,948
135,1017
161,54
209,1292
213,889
209,187
196,202
139,1035
212,889
224,656
140,1041
164,311
196,874
205,1321
126,187
209,1383
204,1213
135,1025
217,1258
126,970
225,1379
141,1043
126,971
189,767
205,1322
223,1398
161,562
126,972
217,37
163,56
217,666
219,662
143,1043
138,846
161,55
171,516
204,1188
157,572
135,1024
135,1018
135,951
215,35
150,1075
189,872
148,889
189,395
196,876
149,934
141,1041
132,1012
140,1044
189,869
152,572
132,1015
158,556
133,1012
164,335
211,891
158,1009
208,1291
209,55
177,589
206,1341
224,1316
132,1025
196,51
216,506
164,316
217,1191
147,956
208,164
217,1394
208,163
157,689
176,542
132,1017
157,423
147,926
157,1307
217,630
163,57
212,891
176,982
204,655
154,1088
131,1019
158,552
208,1344
204,540
126,974
219,1213
164,1367
217,668
165,71
150,1074
206,1338
158,302
157,160
219,1300
132,1024
213,843
155,1100
149,1059
214,1294
218,662
196,13
209,1106
147,1046
167,509
176,584
171,141
217,1391
208,1347
212,843
181,997
135,1016
141,1044
169,157
204,63
204,603
133,1024
140,954
149,930
209,1385
157,25
204,307
152,569
164,503
132,952
170,904
155,1065
161,336
219,1107
209,487
157,1355
157,1107
203,1307
139,1031
217,1395
209,1228
132,1018
212,1178
219,1204
137,1034
189,873
215,535
157,44
133,1018
126,973
204,604
217,559
132,951
181,974
200,1137
214,1363
224,1318
158,1010
214,1362
143,1044
164,415
206,1290
209,45
157,122
128,990
203,1310
149,1131
209,316
196,746
140,1042
203,688
181,1061
163,20
133,1020
150,1062
157,369
132,1020
211,1173
154,1087
203,232
200,1134
147,1050
135,1023
158,998
135,950
149,936
148,843
218,24
213,1178
223,1396
170,139
219,1198
176,585
189,870
218,1300
212,887
211,763
218,1104
130,12
209,1350
212,1173
203,122
196,12
214,1361
219,667
157,456
170,239
137,951
196,184
155,983
213,1173
213,887
211,1068
210,891
219,1258
211,1172
218,1107
130,1008
176,583
212,1177
218,101
218,1213
204,1311
189,865
176,586
177,772
128,985
173,367
149,1057
141,954
131,1012
211,769
213,1177
173,451
211,1145
223,400
218,667
211,1031
161,489
157,421
181,973
218,1204
157,605
158,273
132,1013
132,1016
219,666
137,952
170,672
212,890
212,888
157,370
205,1287
157,302
169,118
152,1076
140,1038
204,602
155,1101
213,769
157,666
147,1049
203,1188
152,1062
190,894
212,769
133,1016
142,954
157,354
213,888
131,1017
213,890
189,867
176,978
204,68
214,833
152,655
154,1063
224,1286
190,391
218,1258
157,556
219,1394
212,885
136,1034
143,954
149,937
147,1048
196,878
219,1191
141,1042
211,1033
157,626
142,1042
158,1006
157,36
148,956
139,1032
132,950
157,1106
203,58
133,950
177,592
157,655
138,1036
133,1022
219,1078
135,1026
132,1023
181,409
173,532
210,1173
196,880
219,1214
131,1018
187,839
204,1305
137,1021
145,839
218,666
189,866
157,35
169,775
131,1020
139,953
208,1345
132,1014
176,582
210,1172
138,953
136,951
177,543
126,1326
169,750
218,1393
203,603
145,852
139,1037
141,1038
177,590
148,1046
218,1191
213,885
149,957
155,1099
219,1395
190,390
157,410
219,630
219,1391
189,868
200,1071
212,886
170,893
190,15
218,630
217,670
157,1151
219,559
149,1052
157,557
213,886
184,717
131,1013
146,840
155,1103
145,763
128,945
152,687
168,750
148,1050
208,1346
157,372
137,1029
187,743
210,1145
149,931
203,604
168,217
149,938
187,763
157,1304
160,1137
211,1052
169,774
126,969
153,1082
157,318
157,657
219,1081
126,942
131,1016
168,774
157,1105
206,1340
204,1285
149,1058
158,1011
196,879
152,1077
163,492
212,841
211,1174
136,1021
145,743
187,838
224,1317
218,559
157,1006
131,1014
145,838
132,1026
183,806
157,19
146,955
203,602
148,1049
219,1080
148,1048
181,942
190,285
157,273
131,950
187,840
157,1011
183,811
136,1022
157,93
212,1146
160,1136
200,1138
203,1305
203,323
184,499
183,808
210,1171
160,1134
170,238
183,805
203,19
212,1176
196,875
157,161
175,966
213,1146
203,1285
157,215
210,1174
183,807
218,93
211,1030
157,482
153,1078
183,809
201,160
183,810
187,842
203,1306
145,841
183,1247
145,955
183,804
184,32
183,803
156,82
160,1135
160,1071
153,1080
183,253
183,802
201,110
175,964
153,1081
183,758
190,864
156,1104
201,423
146,1045
210,1030
156,982
170,906
201,625
201,369
184,715
145,1045
175,967
201,401
160,1138
153,1063
156,274
187,1045
183,1243
202,1310
153,1085
201,541
153,1083
201,552
184,1379
202,232
202,1303
184,639
156,983
175,351
156,1097
156,1098
156,553
156,1065
202,603
201,1391
156,1096
184,716
184,67
201,318
202,605
156,1100
202,1309
175,941
201,1296
153,1084
202,604
201,1304
175,965
202,602
156,1101
201,1151
202,1110
201,1295
202,1305
156,1103
156,1099
201,93
202,48
202,1285
202,1304
201,1140
202,1308
201,482
202,1306
156,1102
127,101
221,62
127,164
222,1392
221,241
221,1385
221,292
221,1382
221,458
222,1398
221,1370
222,1397
222,400
222,419
221,1182
221,479
222,1387
221,150
221,111
221,1366
222,412
221,1386
127,981
221,461
221,459
221,1384
221,1365
127,982
222,1400
129,989
220,241
220,155
220,1385
220,1383
129,945
129,990
129,986
129,988
222,1399
134,1027
134,1028
129,984
129,987
129,985
134,951
127,944
220,1382
220,1370
220,1386
220,111
222,1396
221,1383
221,155
220,1182
220,1366
220,62
220,1365
127,983
220,376
220,977
220,479
220,458
220,292
220,150
220,1384
220,459
193,731
207,1290
179,680
180,621
180,620
180,619
180,622
179,633
179,683
179,682
179,681
178,543
174,423
178,589
178,588
178,590
178,591
144,839
144,841
144,955
174,533
180,617
180,616
180,1150
180,548
186,421
186,161
186,923
186,1378
186,1309
185,948
185,766
185,894
185,285
185,15
185,856
185,857
185,859
185,858
144,1045
144,763
144,838
174,482
174,36
186,924
159,1114
162,460
162,155
162,111
159,1066
159,231
159,1112
159,1111
159,1115
159,1110
174,411
159,1108
159,234
151,1062
151,1077
151,1075
151,1074
151,1076
151,687
162,461
162,54
162,562
162,458
174,58
172,527
172,476
172,322
172,321
172,320
166,504
166,1264
166,170
166,418
166,272
166,207
166,74
166,41
166,40
162,489
162,459
186,1377
186,1062
207,879
194,744
197,881
195,642
195,743
195,742
195,739
194,642
194,743
194,741
194,742
193,422
194,740
194,739
193,641
193,736
193,735
193,1392
193,734
193,733
197,883
197,884
197,768
198,887
207,1341
207,1340
207,1339
207,1338
199,957
199,744
199,743
199,1060
199,1056
199,1055
199,1054
199,1053
199,1052
198,769
198,843
198,889
198,888
193,648
193,730
186,1074
188,722
188,729
188,728
188,725
188,726
188,724
188,909
188,75
188,723
188,721
192,641
186,1188
186,1304
186,1305
186,1280
186,225
186,1075
186,1380
186,1379
188,911
188,640
144,840
191,914
192,736
192,735
192,734
192,733
191,894
191,658
191,864
191,948
191,1008
191,390
191,856
191,391
191,15
191,858
191,857
191,285
191,915
185,1008
